,Tokens
433,is
434,big
435,and
436,the
437,the
438,object
439,tree
440,complex
441,","
442,it
443,will
444,freeze
445,for
446,a
447,few
448,seconds
449,.
450,Also
451,each
452,full
453,GC
454,visits
455,the
456,whole
457,object
458,tree
459,over
460,and
461,over
462,again
463,","
464,something
465,that
466,is
467,probably
468,quite
469,inefficient
470,.
471,Another
472,drawback
473,of
474,the
475,way
476,Java
477,does
478,GC
479,is
480,that
481,you
482,have
483,to
484,tell
485,the
486,jvm
487,what
488,heap
489,size
490,you
491,want
492,(if
493,the
494,default
495,is
496,not
497,good
498,enough
499,);
500,the
501,JVM
502,derives
503,from
504,that
505,value
506,several
507,thresholds
508,that
509,will
510,trigger
511,the
512,GC
513,process
514,when
515,there
516,is
517,too
518,much
519,garbage
520,stacking
521,up
522,in
523,the
524,heap
525,.
526,I
527,presume
528,that
529,this
530,is
531,actually
532,the
533,main
534,cause
535,of
536,the
537,jerky
538,feeling
539,of
540,Android
541,(based
542,on
543,Java
544,"),"
545,even
546,on
547,the
548,most
549,expensive
550,cellphones
551,","
552,in
553,comparison
554,with
555,the
556,smoothness
557,of
558,iOS
559,(based
560,on
561,ObjectiveC
562,","
563,and
564,using
565,RC
566,).
567,I
568,'d
569,love
570,to
571,see
572,a
573,jvm
574,option
575,to
576,enable
577,RC
578,memory
579,management
580,","
581,and
582,maybe
583,keeping
584,GC
585,only
586,to
587,run
588,as
589,a
590,last
591,resort
592,when
593,there
594,is
595,no
596,more
597,memory
598,left
599,.
600,Late
601,in
602,the
603,game
604,","
605,but
606,I
607,think
608,one
609,significant
610,rationale
611,for
612,RC
613,in
614,python
615,is
616,its
617,simplicity
618,.
619,See
620,this
621,email
622,by
623,Alex
624,Martelli
625,","
626,for
627,example
628,.
629,(I
630,could
631,not
632,find
633,a
634,link
635,outside
636,google
637,cache
638,","
639,the
640,email
641,date
642,from
643,13th
644,october
645,2005
646,on
647,python
648,list
649,).
650,Actually
651,reference
652,counting
653,and
654,the
655,strategies
656,used
657,by
658,the
659,Sun
660,JVM
661,are
662,all
663,different
664,types
665,of
666,garbage
667,collection
668,algorithms
669,.
670,There
671,are
672,two
673,broad
674,approaches
675,for
676,tracking
677,down
678,dead
679,"objects: tracing and reference counting. In tracing the GC starts from the ""roots"" - things like stack references, and traces all reachable (live)"
680,objects
681,.
682,Anything
683,that
684,can
685,'t
686,be
687,reached
688,is
689,considered
690,dead
691,.
692,In
693,reference
694,counting
695,each
696,time
697,a
698,reference
699,is
700,modified
701,the
702,object
703,'s
704,involved
705,have
706,their
707,count
708,updated
709,.
710,Any
711,object
712,whose
713,reference
714,count
715,gets
716,set
717,to
718,zero
719,is
720,considered
721,dead
722,.
723,With
724,basically
725,all
726,GC
727,implementations
728,there
729,are
730,trade
731,offs
732,but
733,tracing
734,is
735,usually
736,good
737,for
738,high
739,through
740,put
741,(i.e.
742,fast
743,)
744,operation
745,but
746,has
747,longer
748,pause
749,times
750,(larger
751,gaps
752,where
753,the
754,UI
755,or
756,program
757,may
758,freeze
759,up
760,).
761,Reference
762,counting
763,can
764,operate
765,in
766,smaller
767,chunks
768,but
769,will
770,be
771,slower
772,overall
773,.
774,It
775,may
776,mean
777,less
778,freezes
779,but
780,poorer
781,performance
782,overall
783,.
784,Additionally
785,a
786,reference
787,counting
788,GC
789,requires
790,a
791,cycle
792,detector
793,to
794,clean
795,up
796,any
797,objects
798,in
799,a
800,cycle
801,that
802,won
803,'t
804,be
805,caught
806,by
807,their
808,reference
809,count
810,alone
811,.
812,Perl
813,5
814,didn
815,'t
816,have
817,a
818,cycle
819,detector
820,in
821,its
822,GC
823,implementation
824,and
825,could
826,leak
827,memory
828,that
829,was
830,cyclic
831,.
832,Research
833,has
834,also
835,been
836,done
837,to
838,get
839,the
840,best
841,of
842,both
843,worlds
844,(low
845,pause
846,times
847,","
848,high
849,throughput
850,):
851,http
852,://cs.anu.edu.au/~Steve.Blackburn/pubs/papers/urc-oopsla-2003.pdf
853,Garbage
854,collection
855,is
856,faster
857,(more
858,time
859,efficient
860,)
861,than
862,reference
863,counting
864,","
865,if
866,you
867,have
868,enough
869,memory
870,.
871,For
872,example
873,","
874,a
875,copying
876,gc
877,traverses
878,the
879,"""live"""
880,objects
881,and
882,copies
883,them
884,to
885,a
886,new
887,space
888,","
889,and
890,can
891,reclaim
892,all
893,the
894,"""dead"""
895,objects
896,in
897,one
898,step
899,by
900,marking
901,a
902,whole
903,memory
904,region
905,.
906,This
907,is
908,very
909,efficient
910,","
911,if
912,you
913,have
914,enough
915,memory
916,.
917,Generational
918,collections
919,use
920,the
921,knowledge
922,that
923,"""most"
924,objects
925,die
926,young
927,""";"
928,often
929,only
930,a
931,few
932,percent
933,of
934,objects
935,have
936,to
937,be
938,copied
939,.
940,[This
941,is
942,also
943,the
944,reason
945,why
946,gc
947,can
948,be
949,faster
950,than
951,malloc
952,/free]
953,Reference
954,counting
955,is
956,much
957,more
958,space
959,efficient
960,than
961,garbage
962,collection
963,","
964,since
965,it
966,reclaims
967,memory
968,the
969,very
970,moment
971,it
972,gets
973,unreachable
974,.
975,This
976,is
977,nice
978,when
979,you
980,want
981,to
982,attach
983,finalizers
984,to
985,objects
986,(e.g.
987,to
988,close
989,a
990,file
991,once
992,the
993,File
994,object
995,gets
996,unreachable
997,).
998,A
999,reference
1000,counting
1001,system
1002,can
1003,work
1004,even
1005,when
1006,only
1007,a
1008,few
1009,percent
1010,of
1011,the
1012,memory
1013,is
1014,free
1015,.
1016,But
1017,the
1018,management
1019,cost
1020,of
1021,having
1022,to
1023,increment
1024,and
1025,decrement
1026,counters
1027,upon
1028,each
1029,pointer
1030,assignment
1031,cost
1032,a
1033,lot
1034,of
1035,time
1036,","
1037,and
1038,some
1039,kind
1040,of
1041,garbage
1042,collection
1043,is
1044,still
1045,needed
1046,to
1047,reclaim
1048,cycles
1049,.
1050,So
1051,the
1052,trade
1053,-off
1054,is
1055,clear
1056,:
1057,if
1058,you
1059,have
1060,to
1061,work
1062,in
1063,a
1064,memory
1065,-constrained
1066,environment
1067,","
1068,or
1069,if
1070,you
1071,need
1072,precise
1073,finalizers
1074,","
1075,use
1076,reference
1077,counting
1078,.
1079,If
1080,you
1081,have
1082,enough
1083,memory
1084,and
1085,need
1086,the
1087,speed
1088,","
1089,use
1090,garbage
1091,collection
1092,.
1093,Darren
1094,Thomas
1095,gives
1096,a
1097,good
1098,answer
1099,.
1100,However
1101,","
1102,one
1103,big
1104,difference
1105,between
1106,the
1107,Java
1108,and
1109,Python
1110,approaches
1111,is
1112,that
1113,with
1114,reference
1115,counting
1116,in
1117,the
1118,common
1119,case
1120,(no
1121,circular
1122,references
1123,)
1124,objects
1125,are
1126,cleaned
1127,up
1128,immediately
1129,rather
1130,than
1131,at
1132,some
1133,indeterminate
1134,later
1135,date
1136,.
1137,For
1138,example
1139,","
1140,I
1141,can
1142,write
1143,sloppy
1144,","
1145,non
1146,-portable
1147,code
1148,in
1149,CPython
1150,such
1151,as
1152,and
1153,the
1154,file
1155,descriptor
1156,for
1157,that
1158,file
1159,I
1160,opened
1161,will
1162,be
1163,cleaned
1164,up
1165,immediately
1166,because
1167,as
1168,soon
1169,as
1170,the
1171,reference
1172,to
1173,the
1174,open
1175,file
1176,goes
1177,away
1178,","
1179,the
1180,file
1181,is
1182,garbage
1183,collected
1184,and
1185,the
1186,file
1187,descriptor
1188,is
1189,freed
1190,.
1191,Of
1192,course
1193,","
1194,if
1195,I
1196,run
1197,Jython
1198,or
1199,IronPython
1200,or
1201,possibly
1202,PyPy
1203,","
1204,then
1205,the
1206,garbage
1207,collector
1208,won
1209,'t
1210,necessarily
1211,run
1212,until
1213,much
1214,later
1215,;
1216,possibly
1217,I
1218,'ll
1219,run
1220,out
1221,of
1222,file
1223,descriptors
1224,first
1225,and
1226,my
1227,program
1228,will
1229,crash
1230,.
1231,So
1232,you
1233,SHOULD
1234,be
1235,writing
1236,code
1237,that
1238,looks
1239,like
1240,but
1241,sometimes
1242,people
1243,like
1244,to
1245,rely
1246,on
1247,reference
1248,counting
1249,to
1250,always
1251,free
1252,up
1253,their
1254,resources
1255,because
1256,it
1257,can
1258,sometimes
1259,make
1260,your
1261,code
1262,a
1263,little
1264,shorter
1265,.
1266,I
1267,'d
1268,say
1269,that
1270,the
1271,best
1272,garbage
1273,collector
1274,is
1275,the
1276,one
1277,with
1278,the
1279,best
1280,performance
1281,","
1282,which
1283,currently
1284,seems
1285,to
1286,be
1287,the
1288,Java
1289,-style
1290,generational
1291,garbage
1292,collectors
1293,that
1294,can
1295,run
1296,in
1297,a
1298,separate
1299,thread
1300,and
1301,has
1302,all
1303,these
1304,crazy
1305,optimizations
1306,","
1307,etc
1308,.
1309,The
1310,differences
1311,to
1312,how
1313,you
1314,write
1315,your
1316,code
1317,should
1318,be
1319,negligible
1320,and
1321,ideally
1322,non
1323,-existent.
1324,Phil
1325,'s
1326,answer
1327,really
1328,solved
1329,it
1330,","
1331,but
1332,I
1333,'ll
1334,elaborate
1335,a
1336,little
1337,more
1338,.
1339,Since
1340,the
1341,epoch
1342,is
1343,in
1344,UTC
1345,","
1346,if
1347,I
1348,want
1349,to
1350,compare
1351,other
1352,times
1353,to
1354,the
1355,epoch
1356,","
1357,I
1358,need
1359,to
1360,interpret
1361,them
1362,as
1363,UTC
1364,as
1365,well
1366,.
1367,By
1368,converting
1369,the
1370,time
1371,tuple
1372,to
1373,a
1374,timestamp
1375,treating
1376,is
1377,as
1378,UTC
1379,time
1380,","
1381,I
1382,get
1383,a
1384,number
1385,which
1386,is
1387,evenly
1388,divisible
1389,by
1390,the
1391,number
1392,of
1393,seconds
1394,in
1395,a
1396,day
1397,.
1398,I
1399,can
1400,use
1401,this
1402,to
1403,convert
1404,a
1405,date
1406,to
1407,a
1408,days
1409,-from-the-epoch
1410,representation
1411,which
1412,is
1413,what
1414,I
1415,'m
1416,ultimately
1417,after
1418,.
1419,Short
1420,"answer: Because of timezones.
The Epoch is in UTC.
For example, I'm on IST (Irish Standard Time)"
1421,or
1422,UTC
1423,+1.
1424,time
1425,.mktime()
1426,is
1427,relative
1428,to
1429,my
1430,timezone
1431,","
1432,so
1433,on
1434,my
1435,system
1436,this
1437,refers
1438,to
1439,Because
1440,you
1441,got
1442,the
1443,result
1444,1233378000
1445,","
1446,that
1447,would
1448,suggest
1449,that
1450,you
1451,'re
1452,5
1453,hours
1454,behind
1455,me
1456,Have
1457,a
1458,look
1459,at
1460,the
1461,time
1462,.gmtime()
1463,function
1464,which
1465,works
1466,off
1467,UTC
1468,.
1469,Interesting
1470,.
1471,I
1472,don
1473,'t
1474,know
1475,","
1476,but
1477,I
1478,did
1479,try
1480,this
1481,:
1482,which
1483,is
1484,what
1485,you
1486,expected
1487,.
1488,My
1489,guess
1490,?
1491,Maybe
1492,some
1493,time
1494,correction
1495,was
1496,done
1497,since
1498,the
1499,epoch
1500,.
1501,This
1502,could
1503,be
1504,only
1505,a
1506,few
1507,seconds
1508,","
1509,something
1510,like
1511,a
1512,leap
1513,year
1514,.
1515,I
1516,think
1517,I
1518,heard
1519,something
1520,like
1521,this
1522,before
1523,","
1524,but
1525,can
1526,'t
1527,remember
1528,exactly
1529,how
1530,and
1531,when
1532,it
1533,is
1534,done
1535,...
1536,local
1537,time
1538,...
1539,fancy
1540,that
1541,.
1542,The
1543,time
1544,tuple
1545,:
1546,Incidentally
1547,","
1548,we
1549,seem
1550,to
1551,be
1552,6
1553,hours
1554,apart
1555,:
1556,time
1557,.mktime
1558,should
1559,return
1560,the
1561,number
1562,of
1563,seconds
1564,since
1565,the
1566,epoch
1567,.
1568,Since
1569,I
1570,'m
1571,giving
1572,it
1573,a
1574,time
1575,at
1576,midnight
1577,and
1578,the
1579,epoch
1580,is
1581,at
1582,midnight
1583,","
1584,shouldn
1585,'t
1586,the
1587,result
1588,be
1589,evenly
1590,divisible
1591,by
1592,the
1593,number
1594,of
1595,seconds
1596,in
1597,a
1598,day
1599,?
1600,Michal
1601,Finkelstein
1602,from
1603,OpenCalais
1604,here
1605,.
1606,First
1607,","
1608,thanks
1609,for
1610,your
1611,interest
1612,.
1613,I
1614,'ll
1615,reply
1616,here
1617,but
1618,I
1619,also
1620,encourage
1621,you
1622,to
1623,read
1624,more
1625,on
1626,OpenCalais
1627,forums
1628,;
1629,there
1630,'s
1631,a
1632,lot
1633,of
1634,information
1635,there
1636,including
1637,-
1638,but
1639,not
1640,limited
1641,"to:
http://opencalais.com/tagging-information
http://opencalais.com/how-does-calais-learn
Also feel free to follow us on Twitter (@OpenCalais)"
1642,or
1643,to
1644,email
1645,us
1646,at
1647,team
1648,@opencalais.com
1649,Now
1650,to
1651,the
1652,"answer:
OpenCalais is based on a decade of research and development in the fields of Natural Language Processing and Text Analytics.
We support the full ""NLP Stack"" (as we like to call it)"
1653,:
1654,From
1655,text
1656,tokenization
1657,","
1658,morphological
1659,analysis
1660,and
1661,POS
1662,tagging
1663,","
1664,to
1665,shallow
1666,parsing
1667,and
1668,identifying
1669,nominal
1670,and
1671,verbal
1672,phrases
1673,.
1674,Semantics
1675,come
1676,into
1677,play
1678,when
1679,we
1680,look
1681,for
1682,Entities
1683,(a.k.a.
1684,Entity
1685,Extraction
1686,","
1687,Named
1688,Entity
1689,Recognition
1690,).
1691,For
1692,that
1693,purpose
1694,we
1695,have
1696,a
1697,sophisticated
1698,rule
1699,-based
1700,system
1701,that
1702,combines
1703,discovery
1704,rules
1705,as
1706,well
1707,as
1708,lexicons
1709,/dictionaries.
1710,This
1711,combination
1712,allows
1713,us
1714,to
1715,identify
1716,names
1717,of
1718,companies
1719,"/persons/films,"
1720,etc
1721,".,"
1722,even
1723,if
1724,they
1725,don
1726,'t
1727,exist
1728,in
1729,any
1730,available
1731,list
1732,.
1733,For
1734,the
1735,most
1736,prominent
1737,entities
1738,(such
1739,as
1740,people
1741,","
1742,companies
1743,)
1744,we
1745,also
1746,perform
1747,anaphora
1748,resolution
1749,","
1750,cross
1751,-reference
1752,and
1753,name
1754,canonization
1755,/normalization
1756,at
1757,the
1758,article
1759,level
1760,","
1761,so
1762,we
1763,'ll
1764,know
1765,that
1766,'John
1767,Smith
1768,'
1769,and
1770,'Mr.
1771,Smith
1772,"',"
1773,for
1774,example
1775,","
1776,are
1777,likely
1778,referring
1779,to
1780,the
1781,same
1782,person
1783,.
1784,So
1785,the
1786,short
1787,answer
1788,to
1789,your
1790,question
1791,is
1792,-
1793,no
1794,","
1795,it
1796,'s
1797,not
1798,just
1799,about
1800,matching
1801,against
1802,large
1803,databases
1804,.
1805,Events
1806,/Facts
1807,are
1808,really
1809,interesting
1810,because
1811,they
1812,take
1813,our
1814,discovery
1815,rules
1816,one
1817,level
1818,deeper
1819,;
1820,we
1821,find
1822,relations
1823,between
1824,entities
1825,and
1826,label
1827,them
1828,with
1829,the
1830,appropriate
1831,type
1832,","
1833,for
1834,example
1835,M
1836,&As
1837,(relations
1838,between
1839,two
1840,or
1841,more
1842,companies
1843,"),"
1844,Employment
1845,Changes
1846,(relations
1847,between
1848,companies
1849,and
1850,people
1851,"),"
1852,and
1853,so
1854,on
1855,.
1856,Needless
1857,to
1858,say
1859,","
1860,Event
1861,/Fact
1862,extraction
1863,is
1864,not
1865,possible
1866,for
1867,systems
1868,that
1869,are
1870,based
1871,solely
1872,on
1873,lexicons
1874,.
1875,For
1876,the
1877,most
1878,part
1879,","
1880,our
1881,system
1882,is
1883,tuned
1884,to
1885,be
1886,precision
1887,"-oriented,"
1888,but
1889,we
1890,always
1891,try
1892,to
1893,keep
1894,a
1895,reasonable
1896,balance
1897,between
1898,accuracy
1899,and
1900,entirety
1901,.
1902,By
1903,the
1904,way
1905,there
1906,are
1907,some
1908,cool
1909,new
1910,metadata
1911,capabilities
1912,coming
1913,out
1914,later
1915,this
1916,month
1917,so
1918,stay
1919,tuned
1920,.
1921,Regards
1922,","
1923,Michal
1924,Open
1925,Calais
1926,probably
1927,use
1928,language
1929,parsing
1930,technology
1931,and
1932,language
1933,statics
1934,to
1935,guess
1936,which
1937,words
1938,or
1939,phrases
1940,are
1941,Names
1942,","
1943,Places
1944,","
1945,Companies
1946,","
1947,etc
1948,.
1949,Then
1950,","
1951,it
1952,is
1953,just
1954,another
1955,step
1956,to
1957,do
1958,some
1959,kind
1960,of
1961,search
1962,for
1963,those
1964,entities
1965,and
1966,return
1967,meta
1968,data
1969,.
1970,Zementa
1971,probably
1972,does
1973,something
1974,similar
1975,","
1976,but
1977,matches
1978,the
1979,phrases
1980,against
1981,meta
1982,-data
1983,attached
1984,to
1985,images
1986,in
1987,order
1988,to
1989,acquire
1990,related
1991,results
1992,.
1993,It
1994,certainly
1995,isn
1996,'t
1997,easy
1998,.
1999,I
2000,was
2001,wondering
2002,how
2003,as
2004,semantic
2005,service
2006,like
2007,Open
2008,Calais
2009,figures
2010,out
2011,the
2012,names
2013,of
2014,companies
2015,","
2016,or
2017,people
2018,","
2019,tech
2020,concepts
2021,","
2022,keywords
2023,","
2024,etc
2025,.
2026,from
2027,a
2028,piece
2029,of
2030,text
2031,.
2032,Is
2033,it
2034,because
2035,they
2036,have
2037,a
2038,large
2039,database
2040,that
2041,they
2042,match
2043,the
2044,text
2045,against
2046,?
2047,How
2048,would
2049,a
2050,service
2051,like
2052,Zemanta
2053,know
2054,what
2055,images
2056,to
2057,suggest
2058,to
2059,a
2060,piece
2061,of
2062,text
2063,for
2064,instance
2065,?
2066,I
2067,'m
2068,not
2069,familiar
2070,with
2071,the
2072,specific
2073,services
2074,listed
2075,","
2076,but
2077,the
2078,field
2079,of
2080,natural
2081,language
2082,processing
2083,has
2084,developed
2085,a
2086,number
2087,of
2088,techniques
2089,that
2090,enable
2091,this
2092,sort
2093,of
2094,information
2095,extraction
2096,from
2097,general
2098,text
2099,.
2100,As
2101,Sean
2102,stated
2103,","
2104,once
2105,you
2106,have
2107,candidate
2108,terms
2109,","
2110,it
2111,'s
2112,not
2113,to
2114,difficult
2115,to
2116,search
2117,for
2118,those
2119,terms
2120,with
2121,some
2122,of
2123,the
2124,other
2125,entities
2126,in
2127,context
2128,and
2129,then
2130,use
2131,the
2132,results
2133,of
2134,that
2135,search
2136,to
2137,determine
2138,how
2139,confident
2140,you
2141,are
2142,that
2143,the
2144,term
2145,extracted
2146,is
2147,an
2148,actual
2149,entity
2150,of
2151,interest
2152,.
2153,OpenNLP
2154,is
2155,a
2156,great
2157,project
2158,if
2159,you
2160,'d
2161,like
2162,to
2163,play
2164,around
2165,with
2166,natural
2167,language
2168,processing
2169,.
2170,The
2171,capabilities
2172,you
2173,'ve
2174,named
2175,would
2176,probably
2177,be
2178,best
2179,accomplished
2180,with
2181,Named
2182,Entity
2183,Recognizers
2184,(NER)
2185,(algorithms
2186,that
2187,locate
2188,proper
2189,nouns
2190,","
2191,generally
2192,","
2193,and
2194,sometimes
2195,dates
2196,as
2197,well
2198,)
2199,and
2200,/or
2201,Word
2202,Sense
2203,Disambiguation
2204,(WSD)
2205,(eg:
2206,the
2207,word
2208,'bank'
2209,has
2210,different
2211,meanings
2212,depending
2213,on
2214,it
2215,'s
2216,context
2217,","
2218,and
2219,that
2220,can
2221,be
2222,very
2223,important
2224,when
2225,extracting
2226,information
2227,from
2228,text
2229,.
2230,Given
2231,the
2232,"sentences: ""the plane banked left"", ""the snow bank was high"", and ""they robbed the bank"" you can see how dissambiguation can play an important part in language understanding)"
2233,Techniques
2234,generally
2235,build
2236,on
2237,each
2238,other
2239,","
2240,and
2241,NER
2242,is
2243,one
2244,of
2245,the
2246,more
2247,complex
2248,tasks
2249,","
2250,so
2251,to
2252,do
2253,NER
2254,successfully
2255,","
2256,you
2257,will
2258,generally
2259,need
2260,accurate
2261,tokenizers
2262,(natural
2263,language
2264,tokenizers
2265,","
2266,mind
2267,you
2268,--
2269,statistical
2270,approaches
2271,tend
2272,to
2273,fare
2274,the
2275,best
2276,"),"
2277,string
2278,stemmers
2279,(algorithms
2280,that
2281,conflate
2282,similar
2283,words
2284,to
2285,common
2286,roots: so words like informant and informer are treated equally)
2287,","
2288,sentence
2289,detection
2290,('Mr.
2291,Jones
2292,was
2293,tall
2294,.'
2295,is
2296,only
2297,one
2298,sentence
2299,","
2300,so
2301,you
2302,can
2303,'t
2304,just
2305,check
2306,for
2307,punctuation
2308,"),"
2309,part
2310,-of-speech
2311,taggers
2312,(POS
2313,taggers
2314,"),"
2315,and
2316,WSD
2317,.
2318,There
2319,is
2320,a
2321,python
2322,port
2323,of
2324,(parts
2325,of
2326,)
2327,OpenNLP
2328,called
2329,NLTK
2330,(http://nltk.sourceforge.net)
2331,but
2332,I
2333,don
2334,'t
2335,have
2336,much
2337,experience
2338,with
2339,it
2340,yet
2341,.
2342,Most
2343,of
2344,my
2345,work
2346,has
2347,been
2348,with
2349,the
2350,Java
2351,and
2352,C
2353,#
2354,ports
2355,","
2356,which
2357,work
2358,well
2359,.
2360,All
2361,of
2362,these
2363,algorithms
2364,are
2365,language
2366,"-specific,"
2367,of
2368,course
2369,","
2370,and
2371,they
2372,can
2373,take
2374,significant
2375,time
2376,to
2377,run
2378,"(although,"
2379,it
2380,is
2381,generally
2382,faster
2383,than
2384,reading
2385,the
2386,material
2387,you
2388,are
2389,processing
2390,).
2391,Since
2392,the
2393,state
2394,-of-the-art
2395,is
2396,largely
2397,based
2398,on
2399,statistical
2400,techniques
2401,","
2402,there
2403,is
2404,also
2405,a
2406,considerable
2407,error
2408,rate
2409,to
2410,take
2411,into
2412,account
2413,.
2414,Furthermore
2415,","
2416,because
2417,the
2418,error
2419,rate
2420,impacts
2421,all
2422,the
2423,stages
2424,","
2425,and
2426,something
2427,like
2428,NER
2429,requires
2430,numerous
2431,stages
2432,of
2433,processing
2434,","
2435,(tokenize
2436,->
2437,sentence
2438,detect
2439,->
2440,POS
2441,tag
2442,->
2443,WSD
2444,->
2445,NER
2446,)
2447,the
2448,error
2449,rates
2450,compound
2451,.
2452,Meanwhile
2453,","
2454,I
2455,did
2456,a
2457,refined
2458,research
2459,to
2460,verify
2461,what
2462,the
2463,internal
2464,representation
2465,in
2466,Python
2467,is
2468,","
2469,and
2470,also
2471,what
2472,its
2473,limits
2474,are
2475,.
2476,"""The"
2477,Truth
2478,About
2479,Unicode
2480,In
2481,Python
2482,""""
2483,is
2484,a
2485,very
2486,good
2487,article
2488,which
2489,cites
2490,directly
2491,from
2492,the
2493,Python
2494,developers
2495,.
2496,Apparently
2497,","
2498,internal
2499,representation
2500,is
2501,either
2502,UCS
2503,-2
2504,or
2505,UCS
2506,-4
2507,depending
2508,on
2509,a
2510,compile
2511,-time
2512,switch
2513,.
2514,So
2515,Jon
2516,","
2517,it
2518,'s
2519,not
2520,UTF
2521,"-16,"
2522,but
2523,your
2524,answer
2525,put
2526,me
2527,on
2528,the
2529,right
2530,track
2531,anyway
2532,","
2533,thanks
2534,.
2535,so
2536,what
2537,is
2538,a
2539,"""Unicode"
2540,string
2541,""""
2542,in
2543,Python
2544,?
2545,Python
2546,'knows'
2547,that
2548,your
2549,string
2550,is
2551,Unicode
2552,.
2553,Hence
2554,if
2555,you
2556,do
2557,regex
2558,on
2559,it
2560,","
2561,it
2562,will
2563,know
2564,which
2565,is
2566,character
2567,and
2568,which
2569,is
2570,not
2571,etc
2572,","
2573,which
2574,is
2575,really
2576,helpful
2577,.
2578,If
2579,you
2580,did
2581,a
2582,strlen
2583,it
2584,will
2585,also
2586,give
